"state","jurisdiction","precinct","votes","candidate","county","state_po","state_fips","state_cen","state_ic","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus"
"New Hampshire","ACWORTH","Acworth",0,"KRICHEVSKY","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"MOROZ","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"PATRICK","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",91,"SANDERS","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"SESTAK","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"SLOAN","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",4,"STEYER","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"THISTLE","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"TORGESEN","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",19,"WARREN","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"WELLS","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"WILLIAMSON","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",6,"YANG","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ACWORTH","Acworth",0,"SCATTER","SULLIVAN","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"BENNET","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",10,"BIDEN","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"BOOKER","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"BOYD","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"BULLOCK","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"BURKE","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",29,"BUTTIGIEG","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"CASTRO","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"DE LA FUENTE","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"DELANEY","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"DUNLAP","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"ELLINGER","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",8,"GABBARD","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"GLEIBERMAN","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"GREENSTEIN","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"HARRIS","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"HEWES","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",36,"KLOBUCHAR","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"KOOS","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"KRAUS","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"KRICHEVSKY","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"MOROZ","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",1,"PATRICK","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",69,"SANDERS","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",1,"SESTAK","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"SLOAN","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",2,"STEYER","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"THISTLE","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"TORGESEN","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",19,"WARREN","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"WELLS","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"WILLIAMSON","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",6,"YANG","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALBANY","Albany",0,"SCATTER","CARROLL","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",25,"BIDEN","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"BOOKER","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"BOYD","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"BULLOCK","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"BURKE","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",67,"BUTTIGIEG","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"CASTRO","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"DE LA FUENTE","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"DELANEY","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"DUNLAP","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"ELLINGER","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",15,"GABBARD","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"GLEIBERMAN","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"GREENSTEIN","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"HARRIS","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"HEWES","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",70,"KLOBUCHAR","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"KOOS","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"KRAUS","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"KRICHEVSKY","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"MOROZ","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",1,"PATRICK","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",91,"SANDERS","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"SESTAK","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"SLOAN","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",23,"STEYER","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"THISTLE","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"TORGESEN","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",19,"WARREN","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"WELLS","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"WILLIAMSON","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",9,"YANG","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALEXANDRIA","Alexandria",0,"SCATTER","GRAFTON","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",2,"BENNET","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",65,"BIDEN","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"BOOKER","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"BOYD","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"BULLOCK","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"BURKE","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",183,"BUTTIGIEG","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"CASTRO","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"DE LA FUENTE","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",1,"DELANEY","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"DUNLAP","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"ELLINGER","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",26,"GABBARD","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"GLEIBERMAN","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"GREENSTEIN","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"HARRIS","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"HEWES","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",148,"KLOBUCHAR","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"KOOS","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"KRAUS","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"KRICHEVSKY","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"MOROZ","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",3,"PATRICK","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",223,"SANDERS","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",2,"SESTAK","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"SLOAN","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",44,"STEYER","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"THISTLE","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"TORGESEN","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",41,"WARREN","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"WELLS","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"WILLIAMSON","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",25,"YANG","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALLENSTOWN","Allenstown",0,"SCATTER","MERRIMACK","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",16,"BIDEN","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",0,"BOOKER","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",0,"BOYD","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",0,"BULLOCK","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",0,"BURKE","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",113,"BUTTIGIEG","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",1,"CASTRO","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",0,"DE LA FUENTE","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
"New Hampshire","ALSTEAD","Alstead",1,"DELANEY","CHESHIRE","NH",33,12,4,2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE"
